signal_date,net_return,ending_nav,specification,group
20160129,-0.0292308610584132,1.7530703406817756,R2_roe_shrinkage,5
20160129,-0.0388088383246707,1.9334419288954876,R2_roe_shrinkage,6
20160129,-0.0259917825797848,1.991709431040864,R2_roe_shrinkage,7
20160129,-0.0458166739847993,2.3754968133247556,R2_roe_shrinkage,8
20160129,-0.0293260706724901,2.5505047202797795,R2_roe_shrinkage,9
20160129,-0.0273098900759427,2.873314201949673,R2_roe_shrinkage,10
20160229,0.1399736348620668,1.3922724113285976,R2_roe_shrinkage,1
20160229,0.1740360546537089,2.051318368199295,R2_roe_shrinkage,2
20160229,0.1732518738220971,1.5845700642481306,R2_roe_shrinkage,3
20160229,0.1658894102351527,1.9339388927156569,R2_roe_shrinkage,4
20160229,0.210017598616877,2.121245963838233,R2_roe_shrinkage,5
20160229,0.1847614088600599,2.29066738362733,R2_roe_shrinkage,6
20160229,0.1813140378116291,2.3528343101303855,R2_roe_shrinkage,7
20160229,0.1774940938516518,2.7971334676533197,R2_roe_shrinkage,8
20160229,0.1761602431542075,2.999802251970219,R2_roe_shrinkage,9
20160229,0.1940307188967076,3.430825422170088,R2_roe_shrinkage,10
20160331,-0.022410309851389,1.3610711551931831,R2_roe_shrinkage,1
20160331,-0.0243812476031923,2.0013046671512513,R2_roe_shrinkage,2
20160331,-0.0196217961854393,1.553477953405905,R2_roe_shrinkage,3
20160331,0.0062697014274497,1.9460641121519169,R2_roe_shrinkage,4
20160331,-0.0146594165463707,2.0901497356570204,R2_roe_shrinkage,5
20160331,-0.0054557925844204,2.2781699775023623,R2_roe_shrinkage,6
20160331,0.0015907962713748,2.3565771901781036,R2_roe_shrinkage,7
20160331,-0.0026815210912793,2.789632895264684,R2_roe_shrinkage,8
20160331,0.003115069508822,3.0091468444978275,R2_roe_shrinkage,9
20160331,0.0009048152402433,3.433929685298682,R2_roe_shrinkage,10
20160429,-0.0149170515436488,1.340767986616593,R2_roe_shrinkage,1
20160429,0.0064265631621258,2.014166178001356,R2_roe_shrinkage,2
20160429,0.0016166664290597,1.555989409061461,R2_roe_shrinkage,3
20160429,0.0003976207754736,1.946837907673312,R2_roe_shrinkage,4
